worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,Novelty_Cosine,Novelty_Worker_Disagreement,spammer
33903622,0,14,0,2,0.125,0,0,0.8298238207835890,0.54891209242355400,0
33900189,5,6,5,0,0,0.3125,0,0.7489047677560740,0.6297950528790210,0
33793607,0,14,0,2,0.125,0,0,0.796619654102664,0.55527895208328300,0
33761260,10,8,10,0,0,0.357142857142857,0,0.6496067466449370,0.4869913310591380,0
33727304,3,8,3,2,0.125,0.1875,0,0.7504894299298400,0.54262109066602100,0
33725995,0,28,0,0,0,0,1,0.7035431734897690,0.48185065005690300,1
33721948,0,14,0,2,0.125,0,0,0.7282340592639080,0.6615239220873,0
33565158,3,8,3,2,0.125,0.1875,0,0.6673592194402140,0.47704950515520900,0
33538351,3,10,3,0,0,0.1875,0,0.7397932927484740,0.5536246214670830,0
33535031,2,0,2,0,0,0.5,0,0.702990935736018,0.4723185390661120,0
33500282,9,0,9,0,0,0.5,0,0.5918929510152300,0.4658978951499620,0
33467170,6,14,6,2,0.0714285714285714,0.214285714285714,0,0.7377354493645200,0.6691082689340160,0
33453357,6,2,6,2,0.125,0.375,0,0.6972074466824690,0.5772770402410140,0
33294824,2,12,2,0,0,0.125,0,0.7702971910736020,0.6380457729623760,0
33057016,0,16,0,0,0,0,1,0.8419757411140080,0.5336464669407780,1
32987272,1,10,1,4,0.25,0.0625,0,0.7168682798454440,0.5995600708002520,0
32916723,1,14,1,0,0,0.0625,0,0.6996681937263640,0.5095455571446460,0
32840743,2,10,2,2,0.125,0.125,0,0.783773960743154,0.7243784842779600,0
32799278,0,16,0,0,0,0,1,0.7933059869313200,0.7350041207343740,1
32633078,2,2,2,6,0.5,0.166666666666667,0,0.5152526034337230,0.34324642256160800,1
32352104,2,22,2,2,0.0714285714285714,0.0714285714285714,0,0.7610322412471540,0.7067240846512390,0
32338429,0,26,0,0,0,0,1,0.742585884657180,0.6732896033021690,1
32053642,14,0,14,0,0,0.5,0,0.6513807709116400,0.43896576498894300,0
31743852,5,6,5,0,0,0.3125,0,0.673891692135896,0.51186921525415900,0
31613324,0,12,0,4,0.25,0,0,0.7437610891143590,0.50378409074193700,0
31304413,8,8,8,4,0.142857142857143,0.285714285714286,0,0.705341075157427,0.626367035882632,0
31184650,0,12,0,4,0.25,0,0,0.7128381620153660,0.6594882219882220,0
31065274,4,6,4,2,0.125,0.25,0,0.7949785894893990,0.51178204977919200,0
30779198,5,2,5,4,0.25,0.3125,0,0.6413679954940280,0.44659807818417900,0
30482004,4,2,4,6,0.375,0.25,0,0.5604431424179410,0.4292598935974640,0
30137403,7,6,7,2,0.0909090909090909,0.318181818181818,0,0.75443716029353,0.48920413852113700,0
29849805,8,8,8,4,0.142857142857143,0.285714285714286,0,0.7378130753076950,0.51380351650076600,0
29688905,2,0,2,0,0,0.5,0,0.7150889125269510,0.547,0
29248520,1,12,1,2,0.125,0.0625,0,0.8613350781468680,0.54799113816908900,0
29216552,0,16,0,0,0,0,1,0.8017884467529370,0.6437139980380430,1
29209955,0,14,0,2,0.125,0,0,0.7936902307035630,0.59091502211649400,0
29155723,1,12,1,2,0.125,0.0625,0,0.8257361428099630,0.5191388678634110,0
29096504,0,12,0,4,0.25,0,0,0.7973133548788810,0.6086829506077430,0
28937865,4,0,4,8,0.5,0.25,0,0.3554361156842860,0.3079895121115210,1
28884030,0,0,0,20,1,0,1,0.19016758500265000,0.15428937259923200,1
28790780,0,18,0,0,0,0,1,0.7635367741653820,0.6678334705198480,1
28103910,0,14,0,2,0.125,0,0,0.773389479212093,0.7243478260869560,0
27934334,6,8,6,2,0.0909090909090909,0.272727272727273,0,0.7072005151770200,0.49910192015369200,0
27753923,6,0,6,4,0.25,0.375,0,0.51819353258322000,0.48951494397923000,0
27042527,5,12,5,0,0,0.227272727272727,0,0.7875066612015830,0.4788049920079130,0
25257275,3,20,3,2,0.0714285714285714,0.107142857142857,0,0.7523983077571920,0.7117990985152470,0
24449707,7,0,7,2,0.125,0.4375,0,0.7827558971089910,0.49576956378388100,0
23503585,2,10,2,2,0.125,0.125,0,0.7885512919150930,0.4826144578569540,0
22535866,8,0,8,0,0,0.5,0,0.6253950488431310,0.6336206896551720,0
22222103,0,14,0,2,0.125,0,0,0.8058182580348440,0.6263656684306480,0
22166359,8,0,8,0,0,0.5,0,0.688964226119611,0.4944692921057230,0
22141613,0,0,0,16,1,0,1,0.21737126985519800,0.17066957787481800,1
21963184,1,2,1,0,0,0.25,0,0.6592024754789280,0.54916666666666700,0
21665495,0,14,0,2,0.125,0,0,0.7882062248532760,0.7373251748251750,0
21490235,10,6,10,2,0.0714285714285714,0.357142857142857,0,0.6915574724970660,0.5967569030225350,0
20312760,7,2,7,2,0.111111111111111,0.388888888888889,0,0.43877745550325700,0.4114277409468960,1
20113482,8,8,8,4,0.142857142857143,0.285714285714286,0,0.7468806157323660,0.4816786380394610,0
19913374,0,28,0,0,0,0,1,0.7554214567329190,0.7009864364981500,1
